Algorithm,Final Score,Best Score,Score @50k,Score @100k
DDPG,-125.42634451630872,-70.71013306363885,-147.56892107813033,-125.42634451630872
TD3,-142.800384446109,-29.08404495565545,-167.2234603153494,-142.800384446109
SAC,-141.0817081795889,-48.24168210456651,-147.12506200254987,-141.0817081795889
